Name,OfficialName,Registry,CountryofOperator,Operator,Users,Purpose,DetailedPurpose,ClassofOrbit,TypeofOrbit,DateofLaunch,ExpectedLifetime
Starlink-1345,Starlink-1345,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1346,Starlink-1346,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1347,Starlink-1347,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1348,Starlink-1348,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1349,Starlink-1349,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1350,Starlink-1350,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1351,Starlink-1351,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1352,Starlink-1352,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1353,Starlink-1353,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1354,Starlink-1354,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1355,Starlink-1355,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1356,Starlink-1356,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1357,Starlink-1357,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1358,Starlink-1358,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1360,Starlink-1360,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1361,Starlink-1361,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1362,Starlink-1362,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1363,Starlink-1363,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1364,Starlink-1364,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1365,Starlink-1365,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1366,Starlink-1366,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1367,Starlink-1367,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1368,Starlink-1368,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1369,Starlink-1369,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1370,Starlink-1370,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1371,Starlink-1371,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1372,Starlink-1372,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1373,Starlink-1373,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1374,Starlink-1374,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1375,Starlink-1375,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1376,Starlink-1376,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1377,Starlink-1377,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1378,Starlink-1378,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1379,Starlink-1379,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1390,Starlink-1390,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,4/22/2020,
Starlink-1391,Starlink-1391,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1392,Starlink-1392,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1393,Starlink-1393,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1394,Starlink-1394,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1395,Starlink-1395,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1396,Starlink-1396,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1397,Starlink-1397,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1398,Starlink-1398,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1399,Starlink-1399,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1400,Starlink-1400,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1401,Starlink-1401,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1402,Starlink-1402,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1403,Starlink-1403,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1404,Starlink-1404,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1405,Starlink-1405,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1406,Starlink-1406,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1407,Starlink-1407,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1408,Starlink-1408,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1409,Starlink-1409,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1410,Starlink-1410,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1411,Starlink-1411,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1412,Starlink-1412,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1413,Starlink-1413,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1414,Starlink-1414,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1415,Starlink-1415,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1416,Starlink-1416,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1417,Starlink-1417,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1418,Starlink-1418,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1419,Starlink-1419,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1420,Starlink-1420,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1421,Starlink-1421,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1422,Starlink-1422,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1423,Starlink-1423,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1433,Starlink-1433,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1434,Starlink-1434,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1436 (VisorSat),Starlink-1436 (VisorSat),USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1437,Starlink-1437,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1438,Starlink-1438,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1439,Starlink-1439,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1441,Starlink-1441,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1442,Starlink-1442,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1443,Starlink-1443,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1444,Starlink-1444,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1445,Starlink-1445,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1446,Starlink-1446,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1447,Starlink-1447,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1448,Starlink-1448,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1449,Starlink-1449,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1450,Starlink-1450,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1451,Starlink-1451,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1452,Starlink-1452,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1453,Starlink-1453,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1454,Starlink-1454,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1455,Starlink-1455,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1456,Starlink-1456,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1457,Starlink-1457,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1458,Starlink-1458,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1459,Starlink-1459,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1460,Starlink-1460,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/3/2020,
Starlink-1461,Starlink-1461,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1462,Starlink-1462,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1463,Starlink-1463,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1464,Starlink-1464,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1465,Starlink-1465,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1466,Starlink-1466,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1467,Starlink-1467,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1468,Starlink-1468,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1469,Starlink-1469,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1470,Starlink-1470,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1471,Starlink-1471,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1472,Starlink-1472,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1473,Starlink-1473,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1474,Starlink-1474,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1475,Starlink-1475,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1476,Starlink-1476,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1477,Starlink-1477,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1478,Starlink-1478,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1479,Starlink-1479,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1480,Starlink-1480,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1481,Starlink-1481,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1482,Starlink-1482,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1483,Starlink-1483,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1484,Starlink-1484,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1485,Starlink-1485,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1486,Starlink-1486,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1487,Starlink-1487,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1488,Starlink-1488,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1489,Starlink-1489,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1490,Starlink-1490,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1491,Starlink-1491,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1492,Starlink-1492,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1493,Starlink-1493,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1494,Starlink-1494,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1495,Starlink-1495,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1496,Starlink-1496,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1497,Starlink-1497,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1498,Starlink-1498,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1499,Starlink-1499,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1500,Starlink-1500,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1501,Starlink-1501,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1502,Starlink-1502,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1503,Starlink-1503,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1504,Starlink-1504,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1505,Starlink-1505,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1506,Starlink-1506,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1507,Starlink-1507,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1508,Starlink-1508,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1509,Starlink-1509,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1510,Starlink-1510,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1511,Starlink-1511,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1512,Starlink-1512,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1513,Starlink-1513,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1514,Starlink-1514,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1515,Starlink-1515,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1516,Starlink-1516,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1517,Starlink-1517,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1521,Starlink-1521,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,6/13/2020,
Starlink-1522,Starlink-1522,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1523,Starlink-1523,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1524,Starlink-1524,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1525,Starlink-1525,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1526,Starlink-1526,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1527,Starlink-1527,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1529,Starlink-1529,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1530,Starlink-1530,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1531,Starlink-1531,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,10/6/2020,4
Starlink-1532,Starlink-1532,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1533,Starlink-1533,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1534,Starlink-1534,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1535,Starlink-1535,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1536,Starlink-1536,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1538,Starlink-1538,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1539,Starlink-1539,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1540,Starlink-1540,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1541,Starlink-1541,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1542,Starlink-1542,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1543,Starlink-1543,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1544,Starlink-1544,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1545,Starlink-1545,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/18/2020,
Starlink-1546,Starlink-1546,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,9/3/2020,4
Starlink-1547,Starlink-1547,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,9/3/2020,4
Starlink-1548,Starlink-1548,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1549,Starlink-1549,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1550,Starlink-1550,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,9/3/2020,4
Starlink-1551,Starlink-1551,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1552,Starlink-1552,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1553,Starlink-1553,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,9/3/2020,4
Starlink-1554,Starlink-1554,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1555,Starlink-1555,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1556,Starlink-1556,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1557,Starlink-1557,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1558,Starlink-1558,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1559,Starlink-1559,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1560,Starlink-1560,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1561,Starlink-1561,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1562,Starlink-1562,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1563,Starlink-1563,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1564,Starlink-1564,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1565,Starlink-1565,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1566,Starlink-1566,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1567,Starlink-1567,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1568,Starlink-1568,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1569,Starlink-1569,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1570,Starlink-1570,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1571,Starlink-1571,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1572,Starlink-1572,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1573,Starlink-1573,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1574,Starlink-1574,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1575,Starlink-1575,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,9/3/2020,4
Starlink-1576,Starlink-1576,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1577,Starlink-1577,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1578,Starlink-1578,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1579,Starlink-1579,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1580,Starlink-1580,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1581,Starlink-1581,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1582,Starlink-1582,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1583,Starlink-1583,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1584,Starlink-1584,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1585,Starlink-1585,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/18/2020,
Starlink-1586,Starlink-1586,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/18/2020,
Starlink-1587,Starlink-1587,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/18/2020,
Starlink-1588,Starlink-1588,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/18/2020,
Starlink-1589,Starlink-1589,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/18/2020,
Starlink-1590,Starlink-1590,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/18/2020,
Starlink-1591,Starlink-1591,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/7/2020,
Starlink-1592,Starlink-1592,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/18/2020,
Starlink-1593,Starlink-1593,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/18/2020,
Starlink-1594,Starlink-1594,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/18/2020,
Starlink-1595,Starlink-1595,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/18/2020,
Starlink-1596,Starlink-1596,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/18/2020,
Starlink-1597,Starlink-1597,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/18/2020,
Starlink-1598,Starlink-1598,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,8/18/2020,
